#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476029	1.390767	1.472322	1.477458	1.400904	1.488661	119.788162	120.510003	120.173764	119.361633	121.141143	118.674160	0.324771	3.576783	-2.376577	0.060855	77.1955	CNC1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476238	1.396441	1.475382	1.472568	1.395584	1.475148	119.852347	120.012468	119.885122	120.226520	119.812948	120.210595	-0.000006	-0.000012	-0.000000	0.000000	64.3107	Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476238	1.396441	1.475382	1.472568	1.395584	1.475149	119.852355	120.012466	119.885125	120.226517	119.812960	120.210577	-0.000009	0.000003	-0.000017	0.000000	46.9249	OC1=C(O)C2=C(C=C1)C(=O)C3=C(C(=CC=C3O)O)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476302	1.393871	1.476564	1.476995	1.394447	1.476996	119.171150	120.392715	120.423015	119.248854	120.277258	120.487008	0.000091	-0.000057	-0.000037	0.000001	89.3516	OC(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476329	1.391636	1.473458	1.477096	1.398933	1.486458	119.527241	120.487916	120.245204	119.308718	120.918792	119.156012	0.357581	3.582409	-2.391902	0.061242	77.1387	NC1=CC=CC2=C1C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476403	1.395713	1.476865	1.476403	1.395713	1.476865	119.326712	120.297699	120.375152	119.326708	120.297703	120.375147	0.242867	-0.240519	0.240339	0.002156	0.0032	OS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC(=C3)S(O)(=O)=O)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476477	1.393982	1.476343	1.476569	1.395712	1.477167	119.195218	120.409665	120.409443	119.257614	120.320248	120.399975	0.020896	-0.771880	0.878335	0.009234	83.0616	OS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476479	1.393994	1.476585	1.476430	1.394627	1.476852	119.157831	120.405980	120.422963	119.217713	120.338434	120.457079	0.000030	-0.000188	0.000196	0.000002	80.7724	BrC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476479	1.394044	1.476586	1.476245	1.394738	1.476887	119.161726	120.400795	120.419128	119.231128	120.331502	120.455721	0.000230	-0.000857	0.000565	0.000010	87.2949	ClC1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
222222f2	222222	CCCCCC	O,-,-,O,-,-	1.476528	1.394103	1.476243	1.476374	1.394955	1.477154	119.196826	120.394520	120.387503	119.286343	120.309936	120.416265	-0.045421	0.828800	-0.947066	0.009636	81.4386	ClS(=O)(=O)C1=CC2=C(C=C1)C(=O)C3=C(C=CC=C3)C2=O
